,energy,efficiency
114,686.2387274549098,0.800615
115,692.248496993988,0.801456
116,698.2582665330661,0.802327
117,704.2680360721442,0.803164
118,710.2778056112224,0.803972
119,716.2875751503007,0.804795
120,722.2973446893787,0.80562
121,728.307114228457,0.806376
122,734.3168837675352,0.807149
123,740.3266533066133,0.807906
124,746.3364228456913,0.808643
125,752.3461923847696,0.80938
126,758.3559619238476,0.81008
127,764.3657314629259,0.810783
128,770.3755010020041,0.811521
129,776.3852705410821,0.812216
130,782.3950400801604,0.812937
131,788.4048096192386,0.813608
132,794.4145791583167,0.81428
133,800.4243486973947,0.814951
134,806.434118236473,0.815631
135,812.443887775551,0.816315
136,818.4536573146293,0.816986
137,824.4634268537075,0.817667
138,830.4731963927856,0.81833
139,836.4829659318638,0.818961
140,842.492735470942,0.819597
141,848.5025050100201,0.820253
142,854.5122745490982,0.820854
143,860.5220440881764,0.821423
144,866.5318136272546,0.822038
145,872.5415831663327,0.822643
146,878.5513527054109,0.823219
147,884.5611222444891,0.823815
148,890.5708917835672,0.824407
149,896.5806613226454,0.825037
150,902.5904308617235,0.825591
151,908.6002004008016,0.82619
152,914.6099699398798,0.826722
153,920.619739478958,0.827268
154,926.6295090180361,0.827808
155,932.6392785571143,0.828338
156,938.6490480961925,0.828837
157,944.6588176352706,0.829375
158,950.6685871743487,0.829884
159,956.6783567134269,0.830411
160,962.688126252505,0.830906
161,968.6978957915832,0.831416
162,974.7076653306614,0.831913
163,980.7174348697395,0.832402
164,986.7272044088177,0.832882
165,992.7369739478959,0.833383
166,998.746743486974,0.833861
167,1004.7565130260521,0.834307
168,1010.7662825651303,0.834833
169,1016.7760521042084,0.835305
170,1022.7858216432866,0.83578
171,1028.7955911823647,0.83627
172,1034.8053607214429,0.836758
173,1040.815130260521,0.837246
174,1046.8248997995993,0.837703
175,1052.8346693386775,0.838174
176,1058.8444388777557,0.838619
177,1064.8542084168337,0.83907
178,1070.8639779559119,0.839527
179,1076.87374749499,0.83994
180,1082.883517034068,0.840376
181,1088.8932865731463,0.840808
182,1094.9030561122245,0.841259
183,1100.9128256513025,0.841686
184,1106.9225951903807,0.842125
185,1112.9323647294589,0.842538
186,1118.942134268537,0.842953
187,1124.9519038076153,0.843338
188,1130.9616733466935,0.843768
189,1136.9714428857715,0.844164
190,1142.9812124248497,0.844551
191,1148.9909819639279,0.844938
192,1155.000751503006,0.845334
193,1161.0105210420843,0.845742
194,1167.0202905811625,0.846111
195,1173.0300601202405,0.846504
196,1179.0398296593187,0.846898
197,1185.0495991983967,0.847275
198,1191.0593687374749,0.847651
199,1197.069138276553,0.848023
200,1203.0789078156313,0.848382
201,1209.0886773547093,0.848737
202,1215.0984468937875,0.849104
203,1221.1082164328657,0.849466
204,1227.1179859719439,0.849811
205,1233.127755511022,0.850161
206,1239.1375250501003,0.850515
207,1245.1472945891785,0.850861
208,1251.1570641282565,0.851194
209,1257.1668336673347,0.851525
210,1263.176603206413,0.851885
211,1269.186372745491,0.852222
