,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
Xe-129,8.0560e-12,1.2150e-10,9.6539e-10,2.5300e-09,7.1765e-09
Xe-129m,2.5771e-13,1.7791e-12,8.3181e-12,1.4229e-11,3.1310e-11
Xe-130,2.3938e-08,1.2550e-07,6.0161e-07,1.3004e-06,1.7185e-06
Xe-131,1.6948e-05,3.7743e-05,7.4070e-05,9.3987e-05,7.8826e-05
Xe-131m,5.3196e-08,5.6885e-08,4.5557e-08,2.9578e-08,3.3582e-08
Xe-132,2.9993e-05,7.1583e-05,1.5525e-04,2.1426e-04,2.7724e-04
Xe-133,3.3279e-06,3.0841e-06,2.2450e-06,1.6106e-06,1.7456e-06
Xe-133m,1.3536e-08,1.2305e-08,8.4009e-09,8.1364e-09,8.0535e-09
Xe-134,5.4102e-05,1.1889e-04,2.3998e-04,3.1811e-04,3.6423e-04
Xe-135,3.5854e-08,2.8471e-08,1.6313e-08,1.8115e-08,1.6954e-08
Xe-135m,1.8971e-11,1.4525e-11,8.2895e-12,9.4726e-12,8.8538e-12
Xe-136,8.0939e-05,1.8169e-04,3.7002e-04,4.9587e-04,5.6853e-04
Cs-127,7.3988e-25,1.7158e-24,8.6839e-25,4.6500e-25,8.3337e-25
Cs-129,5.7579e-20,1.3132e-19,5.3647e-20,7.4494e-20,9.9142e-20
Cs-131,9.3974e-16,1.5910e-15,1.0424e-15,1.0807e-15,1.5516e-15
Cs-132,6.9048e-14,1.1564e-13,6.1387e-14,9.9737e-14,2.7555e-12
Cs-133,4.1434e-05,9.2295e-05,1.8505e-04,2.3068e-04,2.4393e-04
Cs-134,8.2396e-07,5.0423e-06,1.4334e-05,2.9792e-05,4.7029e-05
Cs-134m,1.6697e-14,1.9130e-13,2.5913e-13,3.2600e-13,2.6883e-13
Cs-135,8.0235e-06,1.5754e-05,3.4288e-05,4.5570e-05,5.7599e-05
Cs-135m,2.5315e-24,3.5431e-24,2.5604e-24,4.8381e-24,5.8908e-24
Cs-136,1.9527e-08,3.9438e-08,6.6654e-08,7.8605e-08,1.1808e-07
Cs-137,4.2495e-05,9.3635e-05,1.8917e-04,2.5051e-04,2.8633e-04
Cs-138,1.1097e-27,8.1782e-28,4.6062e-28,5.1716e-28,4.7260e-28
Ba-129,8.3657e-30,2.0447e-29,1.0503e-29,5.3331e-30,9.9321e-30
Ba-130,0.0000e+00,9.4374e-37,0.0000e+00,7.2462e-28,5.6455e-24
Ba-131,2.1115e-19,4.0643e-19,2.2950e-19,3.0366e-19,3.3534e-18
Ba-132,1.2157e-14,5.6434e-13,8.1602e-14,1.4703e-10,5.6153e-11
Ba-133,2.2426e-15,2.8304e-14,2.0859e-14,9.4411e-11,1.9397e-11
Ba-133m,6.9619e-20,4.8969e-18,2.6807e-19,6.5735e-16,3.6046e-16
Ba-134,2.0744e-08,2.1928e-07,1.7748e-06,5.3142e-06,1.1065e-05
Ba-135,1.4304e-11,3.6249e-10,5.0584e-09,2.5582e-08,7.3975e-08
Ba-135m,5.5237e-14,2.5176e-13,1.2050e-12,5.1448e-12,7.2471e-12
Ba-136,9.1532e-08,3.6416e-07,1.2173e-06,2.5913e-06,3.8097e-06
Ba-136m,5.8856e-16,1.1887e-15,2.0090e-15,2.3693e-15,3.5591e-15
Ba-137,1.0635e-07,4.5796e-07,2.2103e-06,4.2372e-06,6.4390e-06
Ba-137m,6.4730e-12,1.4263e-11,2.8815e-11,3.8158e-11,4.3615e-11
Ba-138,4.6055e-05,1.0066e-04,2.0221e-04,2.6710e-04,3.0535e-04
Ba-139,7.6104e-16,5.6160e-16,3.1621e-16,3.5545e-16,3.2492e-16
Ba-140,8.4297e-06,8.1688e-06,6.1268e-06,3.9353e-06,4.2147e-06
Ba-141,2.3699e-44,1.7457e-44,9.7500e-45,1.0906e-44,9.8875e-45
La-133,1.1250e-24,2.5840e-24,1.3254e-24,6.5790e-25,1.2097e-24
La-135,2.5780e-18,4.7850e-18,2.4718e-18,3.1416e-18,3.9401e-18
La-137,1.5472e-12,5.9872e-12,1.7399e-11,2.7268e-11,3.4379e-11
La-138,2.2760e-10,5.4049e-10,9.9548e-10,9.0129e-09,5.4225e-09
La-139,4.3502e-05,9.4707e-05,1.8890e-04,2.4808e-04,2.8295e-04
La-140,1.1939e-06,1.1697e-06,8.8984e-07,5.7021e-07,6.0947e-07
La-141,2.1850e-10,1.6137e-10,9.0143e-11,1.0085e-10,9.1505e-11
