,hpge_Ba-137m_661.66_0.02fwhm,hpge_I-132_667.71_0.02fwhm,hpge_Nb-97_657.94_0.02fwhm,hpge_Ce-143_664.57_0.02fwhm,hpge_I-131_636.99_0.02fwhm,hpge_Ba-137m_661.66_0.005fwhm,hpge_I-132_667.71_0.005fwhm,hpge_Nb-97_657.94_0.005fwhm,hpge_Ce-143_664.57_0.005fwhm,hpge_I-131_636.99_0.005fwhm,current_Ce-144_133.5149,current_Pm-148m_414.07,current_Np-239_106.123,La140_scintillator
859,46.359467279392184,1555.8631348083377,263.6619901753104,35.31091064425869,16.519632327595076,29.795997088918096,851.6358206887002,156.72142064245764,22.06082512285698,0.6933135715922532,14.89784043482369,31.840258672033812,4814.469460806213,48186.63114731313
860,44.576889475352296,1643.455930456053,279.42525771499817,37.101749770988306,17.542536786872652,28.650304824167836,899.5816590718742,166.09115073189676,23.179668791205575,0.7362439183454744,14.35645917683839,28.84436932881918,5559.0168803457345,50531.36975799813
861,33.5487085303848,1994.7003474731127,334.73018862555114,46.51780284710112,21.21829259348899,21.562310362281913,1091.8429966255126,198.96455556007004,29.062436934808787,0.8905119635445855,13.280546797680701,31.716154384717953,5570.728200748907,63283.92788980688
862,54.537297640552815,1062.1120141214274,159.0722649085885,21.395819457087615,12.37346508495361,35.052024043807705,581.3703124478599,94.55299690604332,13.367240402217613,0.5193027968722421,14.221248325043797,25.4673147475321,3554.639595257262,35631.15376480313
863,61.437855741302634,1429.9285667596973,224.57694231277299,30.04347877202172,15.425995642134586,39.48712697203418,782.7027720074014,133.4891594324802,18.76994728199119,0.6474146592324216,14.61805784409798,26.23984353088128,5270.702035930006,42189.602920687816
864,25.730898861924288,1938.3066508622683,330.54302122877044,45.54961543896167,21.162780752125943,16.537674666635944,1060.974669572592,196.4756916079512,28.457552701935303,0.8881821833026375,11.369856332509144,26.183078867070854,4793.086507068831,65119.70597049782
865,34.53771975471551,1541.2315325283623,252.9726285011208,36.25364712045887,17.112246133569307,22.197964248972806,843.6268921801957,150.3676343184367,22.649808645483073,0.7181850206806536,13.679660963385075,21.501214398347486,2732.880291534907,54967.83516437813
866,10.782869750631136,2622.1412887518795,501.35644608399286,68.97612880192864,26.87262345679865,6.930328896225416,1435.2865611685202,298.00766665795567,43.093488312469205,1.1278189597334185,6.560325907951063,24.251431255828614,5707.346746602973,84463.72661738469
867,45.17325908410096,1468.2547751975903,233.42439753770864,32.55833610818185,15.567529808027977,29.03360144444831,803.6814630289045,138.74811143766118,20.34112816885351,0.6533547162574174,14.400497948050223,27.208071892700378,3315.420689311605,44570.46679720969
868,53.05204363470635,1035.3140440257453,169.21168965207767,22.839961613081652,11.504649153831535,34.09742670627149,566.7018555992831,100.57989918816723,14.269481861717045,0.4828394020268081,14.115081756887719,20.223344461032806,3644.8492492766522,33989.116931964694
