 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.058829972202682402e+05,2.444961977797115105e+04
1.058829972202682402e+05,2.455445749421887740e+04
1.059429971884906263e+05,2.455445749421887740e+04
1.059429971884906408e+05,2.471761870279671348e+04
1.060029971567130269e+05,2.471761870279671348e+04
1.060029971567130269e+05,2.482845220396461445e+04
1.060629971249354130e+05,2.482845220396461445e+04
1.060629971249354276e+05,2.492789423682983397e+04
1.061229970931578137e+05,2.492789423682983397e+04
1.061229970931578137e+05,2.435856570513528277e+04
1.061829970613801997e+05,2.435856570513528277e+04
1.061829970613801997e+05,2.387796274330911183e+04
1.062429970296025858e+05,2.387796274330911183e+04
1.062429970296026004e+05,2.323933610764505647e+04
1.063029969978249865e+05,2.323933610764505647e+04
1.063029969978249865e+05,2.237461728894239423e+04
1.063629969660473726e+05,2.237461728894239423e+04
1.063629969660473871e+05,2.140735660470509902e+04
1.064229969342697732e+05,2.140735660470509902e+04
1.064229969342697732e+05,2.046019492050367990e+04
1.064829969024921593e+05,2.046019492050367990e+04
1.064829969024921593e+05,1.935587951070469717e+04
1.065429968707145454e+05,1.935587951070469717e+04
1.065429968707145599e+05,1.848520020072668922e+04
1.066029968389369460e+05,1.848520020072668922e+04
1.066029968389369460e+05,1.752272500518195011e+04
1.066629968071593321e+05,1.752272500518195011e+04
1.066629968071593321e+05,1.630681758534965775e+04
1.067229967753817182e+05,1.630681758534965775e+04
1.067229967753817327e+05,1.509310172508624964e+04
1.067829967436041188e+05,1.509310172508624964e+04
1.067829967436041188e+05,1.371674031722192740e+04
1.068429967118265049e+05,1.371674031722192740e+04
1.068429967118265195e+05,1.253021098997410627e+04
1.069029966800489055e+05,1.253021098997410627e+04
1.069029966800489055e+05,1.128132583372606678e+04
1.069629966482712916e+05,1.128132583372606678e+04
1.069629966482712916e+05,9.941506199317620485e+03
1.070229966164936777e+05,9.941506199317620485e+03
1.070229966164936923e+05,8.994881417189737476e+03
1.070829965847160784e+05,8.994881417189737476e+03
1.070829965847160784e+05,7.599833789749472999e+03
1.071429965529384644e+05,7.599833789749472999e+03
1.071429965529384644e+05,6.658500958996698500e+03
1.072029965211608505e+05,6.658500958996698500e+03
1.072029965211608651e+05,5.649542560030139612e+03
1.072629964893832512e+05,5.649542560030139612e+03
1.072629964893832512e+05,4.661928525973607975e+03
1.073229964576056373e+05,4.661928525973607975e+03
1.073229964576056518e+05,3.722010145341859243e+03
1.073829964258280379e+05,3.722010145341859243e+03
1.073829964258280379e+05,3.049266656787117427e+03
1.074429963940504240e+05,3.049266656787117427e+03
1.074429963940504240e+05,2.333215281235940438e+03
1.075029963622728101e+05,2.333215281235940438e+03
1.075029963622728246e+05,1.697987101844767039e+03
1.075629963304952107e+05,1.697987101844767039e+03
1.075629963304952107e+05,1.179066424546913822e+03
1.076229962987175968e+05,1.179066424546913822e+03
1.076229962987175968e+05,7.936670711668735976e+02
1.076829962669399829e+05,7.936670711668735976e+02
1.076829962669399974e+05,4.723485585053526279e+02
1.077429962351623835e+05,4.723485585053526279e+02
1.077429962351623835e+05,2.373609945437945896e+02
1.078029962033847696e+05,2.373609945437945896e+02
1.078029962033847842e+05,1.150791682666401385e+02
1.078629961716071703e+05,1.150791682666401385e+02
1.078629961716071703e+05,4.935071007885823491e+01
1.079229961398295563e+05,4.935071007885823491e+01
1.079229961398295563e+05,1.880021020093370154e+01
1.079829961080519424e+05,1.880021020093370154e+01
1.079829961080519570e+05,6.772155204922159832e+00
1.080429960762743431e+05,6.772155204922159832e+00
1.080429960762743431e+05,2.243718480327876019e+00
1.081029960444967292e+05,2.243718480327876019e+00
1.081029960444967437e+05,5.929262613814753058e-01
1.081629960127191298e+05,5.929262613814753058e-01
1.081629960127191298e+05,1.759603321286580258e-01
1.082229959809415159e+05,1.759603321286580258e-01
1.082229959809415159e+05,4.192021312127712507e-02
1.082829959491639020e+05,4.192021312127712507e-02
1.082829959491639165e+05,9.934493102204620604e-03
1.083429959173863026e+05,9.934493102204620604e-03
1.083429959173863026e+05,2.377054899414055792e-03
1.084029958856086887e+05,2.377054899414055792e-03
1.084029958856086887e+05,5.736765674289356128e-04
1.084629958538310748e+05,5.736765674289356128e-04
1.084629958538310893e+05,2.038169745541261479e-04
1.085229958220534754e+05,2.038169745541261479e-04
1.085229958220534754e+05,1.336851616315864024e-04
1.085829957902758615e+05,1.336851616315864024e-04
1.085829957902758761e+05,1.211284795237376491e-04
1.086429957584982621e+05,1.211284795237376491e-04
1.086429957584982621e+05,1.194837824064424309e-04
1.087029957267206482e+05,1.194837824064424309e-04
1.087029957267206482e+05,1.205361356253017736e-04
1.087629956949430343e+05,1.205361356253017736e-04
1.087629956949430489e+05,1.191312904767017283e-04
1.088229956631654350e+05,1.191312904767017283e-04
1.088229956631654350e+05,1.189287902751017033e-04
1.088829956313878210e+05,1.189287902751017033e-04
1.088829956313878356e+05,1.195278533715017145e-04
1.089429955996102217e+05,1.195278533715017145e-04
1.089429955996102217e+05,1.196607441288017118e-04
1.090029955678326078e+05,1.196607441288017118e-04
1.090029955678326078e+05,1.197409004586016734e-04
1.090629955360549939e+05,1.197409004586016734e-04
1.090629955360550084e+05,1.198653537075017154e-04
1.091229955042773945e+05,1.198653537075017154e-04
